City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
thanh hoa,92,VN,1533784244.0,100,10.21,106.33,76.69,11.99
nieuw amsterdam,20,SR,1533780000.0,94,5.88,-55.08,75.2,2.24
hammerfest,0,NO,1533783000.0,93,70.66,23.68,46.4,9.17
nemuro,75,JP,1533781680.0,100,43.32,145.57,59.0,9.17
turukhansk,92,RU,1533784245.0,98,65.8,87.96,53.29,17.69
paamiut,0,GL,1533784245.0,95,61.99,-49.67,42.04,15.57
tarbagatay,12,RU,1533781800.0,49,51.48,107.36,68.0,2.24
palu,36,ID,1533784245.0,68,-0.9,119.87,77.5,2.15
baghdad,0,IQ,1533780000.0,38,33.3,44.38,87.8,13.87
kiunga,56,PG,1533784246.0,80,-6.12,141.3,82.08,2.82
ust-omchug,80,RU,1533784246.0,98,61.13,149.63,51.8,3.38
ballina,24,IE,1533784246.0,100,54.11,-9.15,47.75,6.85
tara,75,JP,1533782280.0,44,33.0,130.15,89.92,11.41
ambilobe,0,MG,1533784247.0,83,-13.19,49.05,57.47,4.72
rogovskaya,92,RU,1533784247.0,64,45.73,38.74,70.2,17.02
kemi,90,FI,1533783000.0,88,65.74,24.56,66.2,13.87
lachi,36,PK,1533784059.0,97,33.38,71.34,75.47,3.49
qaqortoq,92,GL,1533783000.0,81,60.72,-46.03,46.4,4.7
tazovskiy,56,RU,1533784248.0,99,67.47,78.7,60.31,12.66
kristiansund,80,NO,1533783000.0,87,63.12,7.73,57.2,12.75
brewster,90,US,1533782100.0,88,41.76,-70.08,77.02,11.41
rapid valley,1,US,1533783360.0,49,44.06,-103.15,70.65,5.82
pangnirtung,0,CA,1533784248.0,84,66.15,-65.72,42.04,4.27
gweta,0,BW,1533784249.0,40,-20.21,25.26,61.43,8.41
anadyr,90,RU,1533781800.0,70,64.73,177.51,48.2,11.18
nusaybin,0,TR,1533783600.0,31,37.08,41.21,84.72,5.82
soro,64,NG,1533784249.0,94,11.71,7.41,71.6,6.96
samarai,36,PG,1533784250.0,100,-10.62,150.67,78.17,14.9
poronaysk,0,RU,1533784250.0,86,49.22,143.1,64.62,3.94
terrace,75,CA,1533780000.0,41,54.52,-128.61,78.8,20.8
mehamn,0,NO,1533783000.0,87,71.03,27.85,44.6,3.36
gizo,20,IL,1533783000.0,83,31.8,34.94,77.94,5.82
acandi,64,CO,1533784251.0,100,8.51,-77.28,76.1,2.04
yamada,75,JP,1533780000.0,74,36.58,137.08,83.12,2.24
barabinsk,0,RU,1533784252.0,68,55.35,78.35,70.7,8.19
baherden,0,TM,1533784252.0,37,38.44,57.43,79.2,3.49
riberalta,8,BO,1533784252.0,86,-11.0,-66.08,75.47,4.05
puerto princesa,75,PH,1533780000.0,74,9.74,118.73,84.2,9.17
long branch,1,US,1533782100.0,100,37.88,-88.58,75.18,2.59
sishui,20,CN,1533784253.0,76,35.66,117.27,93.83,5.28
kualakapuas,44,ID,1533784253.0,74,-3.01,114.39,86.22,4.5
gawler,20,AU,1533783600.0,45,-34.6,138.75,64.4,19.46
kruisfontein,80,ZA,1533784253.0,100,-34.0,24.73,47.26,3.6
belen,20,TR,1533779400.0,69,36.49,36.19,80.6,9.17
malinyi,0,TZ,1533784254.0,79,-8.94,36.14,58.55,2.59
sioux lookout,75,CA,1533780000.0,88,50.1,-91.92,70.36,2.24
jiexiu,88,CN,1533784255.0,100,37.02,111.92,73.18,3.49
kampene,24,CD,1533784255.0,98,-3.59,26.67,64.85,2.59
moosomin,0,CA,1533784255.0,58,50.14,-101.67,71.29,4.72
brae,80,GB,1533783000.0,81,60.4,-1.35,51.8,10.29
sibu,75,MY,1533780000.0,66,2.29,111.83,84.2,4.7
banbury,90,GB,1533783360.0,82,52.06,-1.34,59.0,2.24
lakhipur,88,IN,1533784256.0,93,26.03,90.3,80.1,3.15
ostrovnoy,20,RU,1533784256.0,76,68.05,39.51,50.63,7.4
zambezi,0,ZM,1533784257.0,62,-13.55,23.12,53.37,3.94
konstantinovka,0,MD,1533784257.0,85,47.99,28.86,58.15,4.72
badou,80,TG,1533784257.0,99,7.58,0.61,70.3,4.72
camopi,0,GF,1533784257.0,73,3.17,-52.33,77.14,4.16
buala,88,SB,1533784258.0,82,-8.15,159.59,82.0,7.96
la rioja,0,AR,1533784258.0,70,-29.41,-66.86,44.87,6.17
san ramon,100,NI,1533784258.0,90,12.92,-85.84,71.15,2.71
sokoni,0,CD,1533784258.0,38,-12.89,28.78,61.97,8.75
banda aceh,48,ID,1533784259.0,72,5.56,95.32,83.57,5.95
zanjan,0,IR,1533784259.0,55,36.67,48.48,66.92,6.4
thunder bay,40,CA,1533780000.0,100,48.41,-89.26,62.6,3.36
xining,64,CN,1533784115.0,76,36.62,101.77,62.91,1.59
christchurch,0,NZ,1533781800.0,48,-43.53,172.64,62.6,1.12
kapatalan,75,PH,1533780000.0,89,14.49,121.51,84.2,12.75
yegorlykskaya,0,RU,1533784260.0,47,46.56,40.65,69.21,14.34
biltine,20,TD,1533784260.0,98,14.53,20.93,66.25,5.84
hargeysa,100,SO,1533784260.0,57,9.56,44.06,68.5,13.0
beloha,100,MG,1533784260.0,91,-25.17,45.06,65.61,7.4
saint simons,1,US,1533782100.0,74,31.14,-81.39,79.38,6.93
ginda,32,IN,1533784261.0,100,30.69,78.49,63.19,1.36
broken hill,0,AU,1533784261.0,58,-31.97,141.45,64.9,12.77
haines junction,92,CA,1533784261.0,75,60.75,-137.51,51.08,2.82
gander,90,CA,1533781140.0,100,48.95,-54.61,55.4,8.05
gillette,1,US,1533779580.0,46,44.29,-105.5,73.4,5.39
ketchikan,90,US,1533779760.0,77,55.34,-131.65,64.4,9.17
pitimbu,75,BR,1533780000.0,88,-7.47,-34.81,73.4,6.93
padang,92,ID,1533784262.0,100,-0.92,100.36,78.4,6.06
esfarayen,0,IR,1533780000.0,52,37.08,57.51,66.2,2.15
puerto baquerizo moreno,92,EC,1533784263.0,100,-0.9,-89.6,70.52,11.43
orlik,76,RU,1533784263.0,72,52.51,99.83,58.06,2.37
saint-augustin,56,FR,1533783600.0,100,44.83,-0.61,64.4,11.41
dwarka,40,IN,1533781800.0,83,28.58,77.04,84.2,8.05
sao joao,12,AO,1533784264.0,67,-12.76,15.76,44.2,3.38
izumrud,0,UA,1533781800.0,93,50.35,30.39,54.77,2.24
qinzhou,0,CN,1533784264.0,85,21.96,108.62,88.11,5.17
narrabri,0,AU,1533784265.0,69,-30.33,149.78,60.04,4.72
mecca,20,SA,1533784265.0,94,21.43,39.83,76.41,2.93
ghanzi,0,BW,1533784265.0,29,-21.7,21.65,60.94,13.67
athabasca,8,CA,1533784265.0,70,54.72,-113.29,72.91,4.94
dickinson,1,US,1533779760.0,28,46.88,-102.79,80.6,4.7
gallup,1,US,1533783180.0,12,35.53,-108.74,84.13,3.36
boundiali,88,CI,1533784266.0,98,9.53,-6.48,68.76,6.17
agadez,0,NE,1533784266.0,77,16.97,7.99,76.77,6.17
tucumcari,1,US,1533783180.0,54,35.17,-103.73,78.8,10.29
sao jose da coroa grande,92,BR,1533784267.0,91,-8.9,-35.15,73.62,6.85
moramanga,0,MG,1533784267.0,87,-18.95,48.23,42.8,3.94
coahuayana,32,MX,1533784267.0,79,18.62,-100.35,70.25,1.81
pedra branca,0,BR,1533784267.0,64,-5.46,-39.72,70.66,8.3
choix,88,MX,1533784268.0,99,26.71,-108.33,68.14,1.7
todos santos,90,MX,1533779160.0,83,23.45,-110.23,81.82,9.17
rocha,64,UY,1533784268.0,98,-34.48,-54.34,47.26,7.74
valparaiso,20,US,1533782700.0,94,41.47,-87.06,68.85,3.36
irbeyskoye,92,RU,1533784269.0,80,55.64,95.45,62.29,4.61
bien hoa,75,VN,1533781800.0,83,10.95,106.82,80.6,11.41
temerloh,32,MY,1533783970.0,80,3.45,102.42,83.48,3.15
tutoia,8,BR,1533784269.0,81,-2.76,-42.27,78.21,11.77
kpandae,80,GH,1533784269.0,93,8.46,-0.01,72.32,6.4
cervo,24,BR,1533784270.0,84,-22.19,-46.24,52.25,1.48
elliot lake,1,CA,1533780000.0,82,46.37,-82.65,68.0,8.05
bilma,8,NE,1533784270.0,49,18.69,12.92,83.07,8.19
erzin,40,TR,1533781200.0,83,36.95,36.2,79.86,2.24
lewiston,1,US,1533783180.0,20,46.42,-117.02,93.56,2.59
wajima,75,JP,1533780000.0,70,37.4,136.9,86.0,3.36
genhe,44,CN,1533784271.0,87,50.78,121.52,66.96,4.94
panjakent,0,UZ,1533781800.0,36,39.5,67.61,80.6,6.93
nipawin,1,CA,1533780000.0,73,53.36,-104.02,71.6,6.93
mountain home,1,US,1533779880.0,13,43.13,-115.69,97.5,9.17
port-gentil,64,GA,1533784272.0,100,-0.72,8.78,72.45,10.65
kiruna,92,SE,1533783000.0,87,67.86,20.23,59.0,9.17
thinadhoo,88,MV,1533784272.0,100,0.53,72.93,82.35,4.72
portalegre,0,PT,1533784273.0,76,39.29,-7.43,62.33,11.43
rong kwang,40,TH,1533780000.0,88,18.34,100.32,80.6,4.7
tiarei,40,PF,1533783600.0,78,-17.53,-149.33,78.8,12.75
tulu bolo,68,ET,1533784273.0,97,8.66,38.21,45.19,2.26
iralaya,80,HN,1533784273.0,100,15.0,-83.23,78.21,8.3
komsomolskiy,100,RU,1533784274.0,100,67.55,63.78,50.27,12.77
urucara,0,BR,1533784116.0,56,-2.54,-57.76,80.37,5.17
sibiti,76,CG,1533784274.0,80,-3.69,13.35,67.5,3.71
caravelas,64,BR,1533784274.0,99,-17.73,-39.27,76.41,8.97
muisne,88,EC,1533784274.0,90,0.61,-80.02,73.62,3.94
cotia,80,BR,1533780060.0,77,-23.6,-46.92,67.1,3.36
yangjiang,88,CN,1533784275.0,98,21.85,111.96,85.86,22.28
bilibino,8,RU,1533784275.0,51,68.06,166.44,52.07,5.39
murray bridge,0,AU,1533784230.0,88,-35.12,139.28,59.72,15.01
beyneu,24,KZ,1533784275.0,55,45.32,55.19,79.47,6.85
severo-kurilsk,56,RU,1533784276.0,90,50.68,156.12,55.22,4.72
necochea,76,AR,1533784276.0,98,-38.55,-58.74,44.42,17.02
nicoya,0,CR,1533780000.0,66,10.15,-85.45,84.2,13.87
santa cruz,90,US,1533782520.0,100,36.97,-122.03,67.75,5.82
kynashiv,0,UA,1533784278.0,83,48.67,28.9,55.08,4.38
kortkeros,0,RU,1533781800.0,87,61.81,51.56,51.8,4.47
sigli,88,ID,1533784278.0,77,5.38,95.96,83.89,5.28
corinto,12,BR,1533784185.0,83,-18.36,-44.46,66.65,2.26
vikhorevka,8,RU,1533781800.0,45,56.12,101.17,66.2,6.71
strelka,0,RU,1533784279.0,66,58.08,93.03,63.05,3.94
tanout,0,NE,1533784279.0,81,14.97,8.88,76.37,8.97
hailar,64,CN,1533784279.0,92,49.2,119.7,68.9,9.42
axim,80,GH,1533784280.0,99,4.87,-2.24,76.86,13.0
houma,20,CN,1533784280.0,72,35.63,111.36,85.73,2.59
lake city,1,US,1533782100.0,14,38.03,-107.32,71.42,2.37
jimani,0,DO,1533784280.0,97,18.49,-71.85,69.75,1.81
arman,75,RU,1533781800.0,60,59.7,150.17,68.0,6.71
makakilo city,75,US,1533780480.0,65,21.35,-158.09,84.22,11.41
devils lake,1,US,1533783300.0,88,48.11,-98.87,69.24,3.36
jijiga,92,ET,1533784281.0,96,9.35,42.8,57.6,2.93
pangkalanbuun,20,ID,1533784282.0,85,-2.68,111.62,84.51,6.96
ukiah,1,US,1533779760.0,17,39.15,-123.21,91.4,4.7
mao,20,DO,1533780000.0,83,19.55,-71.08,79.72,6.93
bato,88,PH,1533784282.0,85,13.36,123.37,83.07,16.24
batsfjord,0,NO,1533783000.0,87,70.63,29.72,46.4,9.17
sinegorye,92,RU,1533784283.0,100,62.09,150.53,49.1,2.71
sungaipenuh,68,ID,1533784283.0,83,-2.08,101.38,72.72,1.36
mitchell,1,US,1533783180.0,69,43.71,-98.03,78.8,8.05
elizabeth city,1,US,1533783540.0,74,36.3,-76.22,82.42,14.99
namie,75,JP,1533782520.0,100,37.52,140.86,75.2,19.46
